"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2023","2109.20","2076.50","2115.00","2072.00","10.49K","1.56%"
"12/04/2023","2061.60","2114.10","2171.50","2058.30","19.47K","-2.26%"
"12/05/2023","2055.70","2068.10","2078.80","2047.00","10.39K","-0.29%"
"12/06/2023","2067.30","2056.70","2072.30","2055.00","6.38K","0.56%"
"12/07/2023","2065.80","2062.80","2076.30","2056.00","8.52K","-0.07%"
"12/08/2023","2033.90","2065.00","2069.70","2029.90","10.06K","-1.54%"
"12/11/2023","2013.00","2038.80","2043.00","2010.70","10.54K","-1.03%"
"12/12/2023","2012.50","2016.80","2031.20","2012.30","5.79K","-0.02%"
"12/13/2023","2016.70","2014.50","2062.50","2007.60","10.03K","0.21%"
"12/14/2023","2064.20","2063.00","2082.00","2058.90","9.22K","2.36%"
"12/15/2023","2055.20","2070.40","2078.90","2048.80","6.17K","-0.44%"
"12/18/2023","2060.10","2052.90","2067.30","2048.90","7.03K","0.24%"
"12/19/2023","2071.80","2060.70","2080.50","2054.50","9.60K","0.57%"
"12/20/2023","2067.30","2073.40","2075.80","2060.30","3.74K","-0.22%"
"12/21/2023","2071.00","2064.10","2077.60","2063.10","3.26K","0.18%"
"12/22/2023","2088.80","2080.00","2102.30","2077.90","6.24K","0.86%"
"12/26/2023","2089.60","2085.40","2100.00","2084.90","3.86K","0.04%"
"12/27/2023","2112.90","2098.60","2115.20","2092.80","6.47K","1.12%"
"12/28/2023","2103.50","2109.10","2118.00","2094.60","8.11K","-0.44%"
"12/29/2023","2091.80","2096.00","2103.30","2087.50","8.30K","-0.56%"
"01/02/2024","2093.50","2092.70","2107.70","2084.70","11.49K","0.08%"
"01/03/2024","2062.70","2087.90","2093.90","2058.50","24.42K","-1.47%"
"01/04/2024","2069.90","2069.20","2077.60","2063.10","11.28K","0.35%"
"01/05/2024","2069.70","2071.30","2090.70","2051.00","19.59K","-0.01%"
"01/08/2024","2053.40","2071.90","2073.00","2042.70","45.41K","-0.79%"
"01/09/2024","2053.00","2054.10","2068.40","2051.90","63.81K","-0.02%"
"01/10/2024","2047.80","2055.50","2066.00","2045.80","54.81K","-0.25%"
"01/11/2024","2039.00","2049.30","2075.00","2037.30","65.58K","-0.43%"
"01/12/2024","2071.40","2053.20","2086.70","2052.90","59.97K","1.59%"
"01/15/2024","2030.20","2053.40","2062.80","2027.60","285.25K","-1.99%"
"01/16/2024","2049.90","2073.20","2082.20","2047.50","25.50K","0.97%"
"01/17/2024","2026.00","2051.20","2055.60","2024.30","26.64K","-1.17%"
"01/18/2024","2041.10","2028.60","2044.90","2027.30","28.97K","0.75%"
"01/19/2024","2048.60","2046.30","2061.10","2041.70","27.44K","0.37%"
"01/22/2024","2041.60","2051.40","2053.40","2036.80","36.42K","-0.34%"
"01/23/2024","2045.20","2042.60","2058.50","2040.00","45.69K","0.18%"
"01/24/2024","2035.20","2049.70","2057.20","2031.10","77.56K","-0.49%"
"01/25/2024","2036.80","2033.90","2044.70","2023.30","93.34K","0.08%"
"01/26/2024","2036.10","2040.00","2046.80","2034.40","87.45K","-0.03%"
"01/29/2024","2044.60","2043.00","2056.20","2037.70","184.04K","0.42%"
"01/30/2024","2070.50","2071.30","2086.70","2066.80","6.11K","1.27%"
"01/31/2024","2087.00","2075.00","2093.90","2068.50","6.85K","0.80%"
"02/01/2024","2090.60","2076.90","2102.50","2066.00","9.17K","0.17%"
"02/02/2024","2073.40","2091.80","2094.10","2064.00","12.91K","-0.82%"
"02/05/2024","2062.70","2076.20","2077.60","2050.80","6.97K","-0.52%"
"02/06/2024","2071.20","2061.40","2074.80","2058.70","4.48K","0.41%"
"02/07/2024","2071.50","2072.00","2080.90","2066.20","5.89K","0.01%"
"02/08/2024","2067.80","2070.60","2073.50","2054.70","6.39K","-0.18%"
"02/09/2024","2058.60","2069.60","2071.60","2054.40","7.53K","-0.44%"
"02/12/2024","2053.00","2058.10","2061.40","2045.40","4.65K","-0.27%"
"02/13/2024","2027.10","2053.40","2067.00","2022.80","8.87K","-1.26%"
"02/14/2024","2024.00","2025.70","2028.50","2016.30","8.23K","-0.15%"
"02/15/2024","2034.70","2024.80","2040.00","2021.80","7.76K","0.53%"
"02/16/2024","2043.90","2036.10","2046.80","2026.60","4.74K","0.45%"
"02/19/2024","2039.80","2027.70","2042.70","2023.90","202.43K","-0.20%"
"02/20/2024","2059.60","2049.80","2062.20","2044.20","8.14K","0.97%"
"02/21/2024","2054.00","2055.90","2063.10","2050.80","4.49K","-0.27%"
"02/22/2024","2050.50","2055.80","2064.80","2049.20","4.85K","-0.17%"
"02/23/2024","2069.30","2054.20","2073.00","2045.50","7.46K","0.92%"
"02/26/2024","2058.80","2064.00","2066.50","2054.10","4.57K","-0.51%"
"02/27/2024","2064.10","2060.70","2068.80","2058.40","6.03K","0.26%"
"02/28/2024","2062.70","2059.70","2067.30","2053.60","4.89K","-0.07%"
"02/29/2024","2074.60","2063.40","2079.20","2056.10","9.73K","0.58%"
"03/01/2024","2116.00","2072.40","2117.40","2067.10","46.81K","2.00%"
"03/04/2024","2146.80","2111.70","2148.60","2108.50","43.27K","1.46%"
"03/05/2024","2162.50","2143.50","2170.80","2139.20","20.58K","0.73%"
"03/06/2024","2178.80","2157.00","2181.10","2152.80","34.24K","0.75%"
"03/07/2024","2185.90","2177.10","2192.70","2172.60","61.74K","0.33%"
"03/08/2024","2206.30","2187.20","2223.30","2182.10","108.34K","0.93%"
"03/11/2024","2210.00","2208.50","2216.30","2202.20","83.44K","0.17%"
"03/12/2024","2187.70","2209.60","2211.90","2178.00","67.25K","-1.01%"
"03/13/2024","2202.40","2185.20","2206.90","2183.00","65.07K","0.67%"
"03/14/2024","2189.10","2201.30","2202.60","2178.40","28.53K","-0.60%"
"03/15/2024","2183.10","2188.70","2198.20","2180.40","28.57K","-0.27%"
"03/18/2024","2185.90","2181.40","2188.70","2170.80","52.41K","0.13%"
"03/19/2024","2181.20","2185.60","2187.80","2171.90","41.98K","-0.22%"
"03/20/2024","2182.40","2182.60","2213.60","2173.60","54.11K","0.06%"
