"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2023","38688.2","37712.9","38950.8","37618.3","62.50K","2.59%"
"12/02/2023","39458.4","38688.2","39673.4","38646.5","37.09K","1.99%"
"12/03/2023","39970.2","39456.8","40178.9","39280.3","35.27K","1.30%"
"12/04/2023","41987.8","39968.6","42394.4","39968.6","104.21K","5.05%"
"12/05/2023","44076.2","41989.6","44424.1","41424.9","96.84K","4.97%"
"12/06/2023","43776.3","44076.2","44283.7","43466.7","72.52K","-0.68%"
"12/07/2023","43289.7","43774.4","44046.4","42860.5","63.09K","-1.11%"
"12/08/2023","44175.5","43288.3","44697.6","43108.4","58.44K","2.05%"
"12/09/2023","43718.4","44175.5","44361.2","43617.4","31.67K","-1.03%"
"12/10/2023","43791.0","43716.6","44045.4","43576.8","23.81K","0.17%"
"12/11/2023","41256.1","43791.0","43806.3","40277.1","105.19K","-5.79%"
"12/12/2023","41487.0","41256.1","42070.9","40691.5","57.04K","0.56%"
"12/13/2023","42884.5","41487.0","43417.5","40649.3","63.11K","3.37%"
"12/14/2023","43025.9","42886.3","43392.7","41591.2","59.15K","0.33%"
"12/15/2023","41929.0","43025.2","43080.7","41697.9","45.28K","-2.55%"
"12/16/2023","42271.7","41929.0","42690.3","41698.2","30.11K","0.82%"
"12/17/2023","41368.7","42271.7","42413.2","41276.9","35.46K","-2.14%"
"12/18/2023","42659.7","41369.1","42728.0","40554.0","61.58K","3.12%"
"12/19/2023","42259.3","42659.7","43473.3","41842.7","55.29K","-0.94%"
"12/20/2023","43662.8","42259.5","44278.7","42217.2","70.19K","3.32%"
"12/21/2023","43865.9","43660.3","44241.8","43310.2","48.96K","0.47%"
"12/22/2023","43968.9","43865.9","44394.6","43419.3","44.50K","0.23%"
"12/23/2023","43710.4","43968.9","43994.6","43325.7","21.29K","-0.59%"
"12/24/2023","42981.5","43710.4","43935.7","42748.5","30.86K","-1.67%"
"12/25/2023","43578.5","42982.0","43792.7","42745.3","32.67K","1.39%"
"12/26/2023","42513.3","43579.9","43594.9","41796.6","56.03K","-2.44%"
"12/27/2023","43446.5","42514.3","43676.7","42115.3","50.10K","2.20%"
"12/28/2023","42581.1","43446.5","43782.6","42309.3","49.84K","-1.99%"
"12/29/2023","42072.4","42581.1","43108.0","41459.0","60.98K","-1.19%"
"12/30/2023","42136.7","42074.7","42592.2","41527.3","35.18K","0.15%"
"12/31/2023","42272.5","42141.6","42878.8","41971.4","35.58K","0.32%"
"01/01/2024","44183.4","42272.5","44187.0","42196.7","36.30K","4.52%"
"01/02/2024","44943.7","44182.9","45885.4","44166.0","97.84K","1.72%"
"01/03/2024","42836.1","44943.7","45492.7","40888.3","117.65K","-4.69%"
"01/04/2024","44157.0","42836.1","44744.5","42632.8","68.05K","3.08%"
"01/05/2024","44156.9","44163.0","44312.1","42629.0","68.07K","0.00%"
"01/06/2024","43967.9","44156.6","44203.2","43424.0","24.26K","-0.43%"
"01/07/2024","43927.3","43973.5","44481.2","43627.9","29.53K","-0.09%"
"01/08/2024","46962.2","43934.2","47196.7","43251.0","103.09K","6.91%"
"01/09/2024","46129.0","46959.2","47880.1","45333.9","100.09K","-1.77%"
"01/10/2024","46629.3","46112.0","47654.3","44403.6","131.48K","1.08%"
"01/11/2024","46348.2","46629.3","48923.7","45651.8","131.04K","-0.60%"
"01/12/2024","42835.9","46348.1","46503.2","41857.9","136.92K","-7.58%"
"01/13/2024","42851.3","42836.7","43248.6","42443.3","48.18K","0.04%"
"01/14/2024","41746.1","42851.3","43069.4","41739.6","37.14K","-2.58%"
"01/15/2024","42510.7","41747.6","43348.9","41719.2","52.08K","1.83%"
"01/16/2024","43145.5","42515.2","43563.7","42093.1","63.93K","1.49%"
"01/17/2024","42768.7","43139.1","43192.3","42211.8","50.44K","-0.87%"
"01/18/2024","41292.7","42763.5","42908.0","40682.6","70.35K","-3.45%"
"01/19/2024","41648.0","41293.8","42164.6","40305.4","72.64K","0.86%"
"01/20/2024","41695.4","41647.6","41858.0","41449.5","22.27K","0.11%"
"01/21/2024","41583.2","41695.4","41878.0","41504.5","16.11K","-0.27%"
"01/22/2024","39556.4","41581.7","41684.9","39468.4","85.10K","-4.87%"
"01/23/2024","39888.8","39555.0","40159.4","38546.9","82.67K","0.84%"
