"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2023","238.83","233.14","240.19","231.90","121.33M","-0.52%"
"12/04/2023","235.58","235.75","239.37","233.29","104.10M","-1.36%"
"12/05/2023","238.72","233.87","246.66","233.70","137.97M","1.33%"
"12/06/2023","239.37","242.92","246.57","239.17","126.44M","0.27%"
"12/07/2023","242.64","241.55","244.08","236.98","107.14M","1.37%"
"12/08/2023","243.84","240.27","245.27","239.27","103.13M","0.49%"
"12/11/2023","239.74","242.74","243.44","237.45","97.91M","-1.68%"
"12/12/2023","237.01","238.55","238.99","233.87","95.33M","-1.14%"
"12/13/2023","239.29","234.19","240.30","228.20","146.29M","0.96%"
"12/14/2023","251.05","241.22","253.88","240.79","160.83M","4.91%"
"12/15/2023","253.50","251.21","254.13","248.30","135.93M","0.98%"
"12/18/2023","252.08","253.78","258.74","251.36","116.42M","-0.56%"
"12/19/2023","257.22","253.48","258.34","253.01","106.74M","2.04%"
"12/20/2023","247.14","256.41","259.84","247.00","125.10M","-3.92%"
"12/21/2023","254.50","251.90","254.80","248.55","109.59M","2.98%"
"12/22/2023","252.54","256.76","258.22","251.37","93.37M","-0.77%"
"12/26/2023","256.61","254.49","257.97","252.91","86.89M","1.61%"
"12/27/2023","261.44","258.35","263.34","257.52","106.49M","1.88%"
"12/28/2023","253.18","263.66","265.13","252.71","113.62M","-3.16%"
"12/29/2023","248.48","255.10","255.19","247.43","100.89M","-1.86%"
"01/02/2024","248.42","250.08","251.25","244.41","104.65M","-0.02%"
"01/03/2024","238.45","244.98","245.68","236.32","121.08M","-4.01%"
"01/04/2024","237.93","239.25","242.70","237.73","102.63M","-0.22%"
"01/05/2024","237.49","236.86","240.12","234.90","92.49M","-0.18%"
"01/08/2024","240.45","236.14","241.25","235.30","85.17M","1.25%"
"01/09/2024","234.96","238.11","238.96","232.04","96.71M","-2.28%"
"01/10/2024","233.94","235.10","235.50","231.29","91.63M","-0.43%"
"01/11/2024","227.22","230.57","230.93","225.37","105.87M","-2.87%"
"01/12/2024","218.89","220.08","225.34","217.15","123.04M","-3.67%"
"01/16/2024","219.91","215.10","223.49","212.18","115.36M","0.47%"
"01/17/2024","215.55","214.86","215.67","212.01","103.16M","-1.98%"
"01/18/2024","211.88","216.88","217.45","208.74","108.60M","-1.70%"
"01/19/2024","212.19","209.99","213.19","207.56","102.26M","0.15%"
"01/22/2024","208.80","212.26","217.80","206.27","117.95M","-1.60%"
"01/23/2024","209.14","211.30","215.65","207.75","106.61M","0.16%"
"01/24/2024","207.83","211.88","212.73","206.77","123.37M","-0.63%"
"01/25/2024","182.63","189.70","193.00","180.06","198.08M","-12.13%"
"01/26/2024","183.25","185.50","186.78","182.10","107.34M","0.34%"
"01/29/2024","190.93","185.63","191.48","183.67","125.01M","4.19%"
"01/30/2024","191.59","195.33","196.36","190.61","109.98M","0.35%"
"01/31/2024","187.29","186.99","193.97","185.85","103.22M","-2.24%"
"02/01/2024","188.86","188.50","189.88","184.28","91.84M","0.84%"
"02/02/2024","187.91","185.04","188.69","182.00","110.61M","-0.50%"
"02/05/2024","181.06","184.26","184.68","175.01","134.29M","-3.65%"
"02/06/2024","185.10","177.21","186.49","177.11","122.68M","2.23%"
"02/07/2024","187.58","188.18","189.79","182.68","111.54M","1.34%"
